경마장,경주일,경주번호,신마수_예상1_코드98기준,삼복_rank1_적중,삼복_rank1_배당,삼복_rank2_적중,삼복_rank2_배당,복승_rank1_적중,복승_rank1_배당,복승_rank2_적중,복승_rank2_배당
서울,20251129,4,0,1,6.2,1,6.2,1,5.5,1,5.5
서울,20251129,5,0,1,34.0,1,34.0,1,26.4,1,26.4
서울,20251129,6,0,0,0.0,1,13.1,0,0.0,1,9.6
서울,20251129,7,0,1,351.1,0,0.0,1,54.0,0,0.0
서울,20251129,8,0,1,4.5,1,4.5,1,2.3,1,2.3
서울,20251129,9,0,1,182.2,1,182.2,1,29.7,1,29.7
서울,20251129,10,0,1,165.0,0,0.0,1,42.0,0,0.0
서울,20251129,11,0,1,7.0,1,7.0,1,8.9,1,8.9
서울,20251130,1,1,0,0.0,0,0.0,1,213.2,1,213.2
서울,20251130,2,1,0,0.0,0,0.0,0,0.0,0,0.0
서울,20251130,3,0,1,12.5,0,0.0,1,11.3,0,0.0
서울,20251130,4,0,1,5.7,1,5.7,1,2.4,1,2.4
서울,20251130,5,0,0,0.0,1,18.0,0,0.0,1,7.8
서울,20251130,6,0,0,0.0,0,0.0,0,0.0,0,0.0
서울,20251130,7,0,0,0.0,0,0.0,1,27.9,1,27.9
서울,20251130,8,0,0,0.0,0,0.0,0,0.0,0,0.0
서울,20251130,9,0,0,0.0,0,0.0,0,0.0,0,0.0
서울,20251130,10,0,1,104.4,1,104.4,1,13.5,1,13.5
서울,20251130,11,0,0,0.0,0,0.0,0,0.0,0,0.0
