경마장,경주일,경주번호,경주거리,마번,경주마,프로그램최종예상순위,프로그램예상순위1,프로그램최근8경주기준예상순위,dark_score,복병코멘트
서울,20231203,10,1400,1,장산포이즌,8,7,8,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231203,11,1400,2,싱싱메리,11,11,11,55.0,복병유력 55.0점 · 구간강점/폼/연대OK/체중/부담안정
부산,20231208,1,1200,2,그린치프,9,7,9,60.0,복병유력 60.0점 · 구간강점/폼/연대OK/체중/부담안정
부산,20231208,5,1400,8,어나더원,10,10,10,65.0,복병유력 65.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231208,6,1300,3,에브리킹이지,10,8,10,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231208,8,1800,3,청마황후,4,8,4,75.0,복병강 75.0점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231209,4,1200,8,레이디태풍,9,8,9,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/체중/부담안정
서울,20231209,9,1200,3,파이팅대디,10,9,10,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231210,5,1400,4,원더풀리어,4,3,4,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231210,3,1400,8,이에이치코코,4,6,4,60.0,복병유력 60.0점 · 구간강점/폼/연대OK/체중/부담안정
서울,20231210,4,1300,2,두손클래식,4,3,6,62.5,복병유력 62.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정
서울,20231210,5,1400,2,나올스카이,8,7,10,62.5,복병유력 62.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정
서울,20231210,8,1600,2,컴플리트엔젤,6,9,5,75.0,복병강 75.0점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231210,9,1200,8,골드파워,5,4,5,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/기수/조교OK
서울,20231210,10,2000,6,노던타임,7,9,10,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/기수/조교OK
부산,20231215,5,1200,4,남도일등,8,5,7,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231215,6,1400,5,최강무지개,7,1,8,80.0,복병강 80.0점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231215,7,1600,10,비케이갤럽,7,11,8,72.5,복병강 72.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231215,9,1600,2,블랙볼트,10,9,9,65.0,복병유력 65.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231216,4,1200,10,컴플리트파티,9,9,8,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/기수/조교OK
서울,20231216,5,1400,9,갈색향기,5,5,8,72.5,복병강 72.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231216,8,1700,9,새로운빛깔,6,9,7,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231216,10,1400,9,톱클래스,6,9,5,75.0,복병강 75.0점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231216,11,1600,3,서울탱크,9,8,9,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/체중/부담안정
부산,20231217,2,1200,5,인디언파티,8,6,9,72.5,복병강 72.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231217,3,1300,7,삼바스텝,9,5,10,67.5,복병유력 67.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정
부산,20231217,4,1600,4,커널플라잉,5,5,5,55.0,복병유력 55.0점 · 구간강점/폼/연대OK/기수/조교OK
부산,20231217,5,1800,1,최강마린,4,7,3,65.0,복병유력 65.0점 · 구간강점/평가불일치/폼/연대OK/기수/조교OK
부산,20231217,6,1200,8,로드투브이,8,8,7,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/기수/조교OK
서울,20231217,3,1200,7,글로리케이,4,4,4,55.0,복병유력 55.0점 · 구간강점/폼/연대OK/기수/조교OK
서울,20231217,5,1300,10,텐배거,6,7,8,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231217,7,1800,5,원더풀데블,6,6,7,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231217,9,1400,9,옥룡,7,5,7,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231217,10,1400,8,한강보스,10,9,9,65.0,복병유력 65.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231217,11,1600,6,문학보스,6,2,6,75.0,복병강 75.0점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231222,2,1300,8,투투머니건,6,7,6,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/기수/조교OK
부산,20231222,4,1200,2,투투라임,9,7,8,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231222,6,1400,2,퀄리티퀸,6,7,6,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/체중/부담안정
부산,20231222,7,1800,8,원더풀파일,9,6,7,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231222,8,1600,10,에코선,4,3,4,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231223,2,1200,7,제로백포,4,2,5,72.5,복병강 72.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231223,3,1200,10,샤프선샤인,8,6,10,65.0,복병유력 65.0점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정
서울,20231223,5,1700,2,바이킹하트,7,3,9,70.0,복병강 70.0점 · 구간강점/평가불일치/폼/연대OK/기수/조교OK
서울,20231223,6,1600,7,찬란한날,6,7,6,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/기수/조교OK
부산,20231224,1,1200,7,승리파티,4,4,4,65.0,복병유력 65.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231224,3,1400,11,네버기브업,8,9,6,72.5,복병강 72.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231224,4,1600,4,영광의클래스,9,8,8,65.0,복병유력 65.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231224,9,1200,3,브레드히트,6,1,6,77.5,복병강 77.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231224,10,2000,10,소머치고,4,7,6,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231224,2,1200,9,골든볼,9,9,9,45.0,복병주의 45.0점 · 구간강점/폼/연대OK
서울,20231224,3,1300,8,스마트태양,8,7,7,65.0,복병유력 65.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231224,5,1200,10,화수분,6,3,11,80.0,복병강 80.0점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231224,7,1400,8,파크윈,9,2,9,70.0,복병강 70.0점 · 구간강점/평가불일치/폼/연대OK/기수/조교OK
서울,20231225,2,1300,5,호명에이스,4,5,4,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/체중/부담안정
서울,20231225,4,1700,8,골드참,5,8,5,72.5,복병강 72.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231225,8,1300,10,불의여왕,10,8,10,60.0,복병유력 60.0점 · 구간강점/폼/연대OK/체중/부담안정
서울,20231225,10,1800,7,화이트참,5,8,6,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231225,12,1200,6,새내퀸,5,6,4,60.0,복병유력 60.0점 · 구간강점/폼/연대OK/기수/조교OK
부산,20231229,1,1200,3,댄싱보이,5,5,4,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/기수/조교OK
부산,20231229,6,1800,7,위드스타,7,3,8,77.5,복병강 77.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231229,7,1400,11,라이즈더스론,8,7,8,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231229,8,1200,2,나이스데이,5,5,5,65.0,복병유력 65.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231230,2,1200,3,다나은렉스,6,5,8,72.5,복병강 72.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231230,5,1400,7,송암레이서,6,7,5,60.0,복병유력 60.0점 · 구간강점/폼/연대OK/기수/조교OK
서울,20231230,10,1200,5,트로트퀸,4,3,4,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231230,11,1600,4,매직그레이스,8,10,8,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20231231,3,1200,5,매직일레븐,4,8,4,75.0,복병강 75.0점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231231,9,2000,5,더블에지,6,3,6,72.5,복병강 72.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231231,10,1200,7,스프링꿈,7,7,8,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20231231,11,1200,1,용비서울,6,6,8,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240105,4,1300,9,삼바스텝,11,9,11,50.0,복병주의 50.0점 · 구간강점/폼/연대OK
부산,20240105,5,1400,2,닥터콩돌이,5,3,6,72.5,복병강 72.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240105,6,1600,3,대호마,6,3,7,75.0,복병강 75.0점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240105,7,1600,4,천년의구름,6,2,7,67.5,복병유력 67.5점 · 구간강점/평가불일치/폼/연대OK/기수/조교OK
부산,20240105,8,1400,2,캐치더빅토리,4,2,4,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240106,5,1300,1,베스트클론,4,3,5,60.0,복병유력 60.0점 · 구간강점/폼/연대OK/기수/조교OK
서울,20240106,7,1200,8,킹칼레,10,10,8,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240106,9,1300,9,원평퀸,6,8,6,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240106,11,1600,7,모닝힐,8,8,7,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/기수/조교OK
부산,20240107,1,1400,5,오섬선라이즈,4,8,4,75.0,복병강 75.0점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240107,2,1300,7,렉스킹,4,5,4,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240107,3,1600,6,원더풀보브캣,8,7,6,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/기수/조교OK
부산,20240107,4,1200,6,랩베르사,8,8,10,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240107,5,1400,3,네임드,5,4,5,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/기수/조교OK
부산,20240107,6,1800,10,루카스선,4,8,4,65.0,복병유력 65.0점 · 구간강점/평가불일치/폼/연대OK/기수/조교OK
서울,20240107,9,1400,11,배다리왕자,7,7,7,55.0,복병유력 55.0점 · 구간강점/폼/연대OK/기수/조교OK
부산,20240112,1,1200,3,원더풀리지,4,2,5,72.5,복병강 72.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240112,5,1200,7,우승강자,8,8,10,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240112,6,1300,4,아리온퀸,8,7,8,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/체중/부담안정
부산,20240112,8,1200,2,부경천사,7,4,9,77.5,복병강 77.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240113,2,1200,10,사하라몽,4,6,4,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240113,5,1300,11,천마평정,4,4,4,65.0,복병유력 65.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240113,6,1400,1,베트캡틴,9,11,9,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240113,9,1200,11,히든브레인,7,7,6,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240113,11,1800,6,황금럭키,11,11,10,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240114,2,1600,4,아쿠아리우스,7,5,8,62.5,복병유력 62.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정
부산,20240114,3,1400,3,알파하트,6,5,6,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240114,4,1400,2,인디언파티,8,5,8,72.5,복병강 72.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240114,7,1800,5,위대한선택,5,10,5,67.5,복병유력 67.5점 · 구간강점/평가불일치/폼/연대OK/기수/조교OK
부산,20240114,8,1200,2,퀸오브더월드,7,9,5,75.0,복병강 75.0점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240114,2,1200,5,스타체인저,6,5,5,55.0,복병유력 55.0점 · 구간강점/폼/연대OK/체중/부담안정
서울,20240114,3,1200,5,해제여걸,9,9,8,47.5,복병주의 47.5점 · 구간강점/폼/연대OK
서울,20240114,7,1600,3,머스탱파워,4,7,3,75.0,복병강 75.0점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240114,8,1300,5,원평킬라,7,6,8,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240114,9,2000,3,별나라신사,4,7,6,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/기수/조교OK
부산,20240119,4,1200,8,하트브레이커,7,6,9,72.5,복병강 72.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240119,7,1400,1,러브킹이지,7,4,7,62.5,복병유력 62.5점 · 구간강점/평가불일치/폼/연대OK/기수/조교OK
서울,20240120,3,1300,2,큐피드미르,6,7,6,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240120,5,1200,2,용비파워,9,9,10,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240120,7,1300,8,미스하이플라이,5,4,6,60.0,복병유력 60.0점 · 구간강점/폼/연대OK/체중/부담안정
서울,20240120,10,1400,9,대완구,10,11,11,55.0,복병유력 55.0점 · 구간강점/폼/연대OK/체중/부담안정
서울,20240120,11,1200,1,디스챌린지,7,6,7,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/기수/조교OK
부산,20240121,3,1400,11,모닝플로우,5,7,5,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240121,5,1600,7,베르다,8,6,9,62.5,복병유력 62.5점 · 구간강점/평가불일치/폼/연대OK/기수/조교OK
서울,20240121,4,1200,1,천행챗,8,10,7,72.5,복병강 72.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240121,9,1600,6,새벽밴드,4,7,4,72.5,복병강 72.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240126,1,1200,8,트리플악셀,8,8,8,55.0,복병유력 55.0점 · 구간강점/폼/연대OK/체중/부담안정
부산,20240126,2,1400,4,서부캡틴,6,6,6,65.0,복병유력 65.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240126,5,1300,8,그레이퀸,9,11,9,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240127,3,1300,7,토종글로리,8,8,8,65.0,복병유력 65.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240127,5,1300,8,우주전쟁,8,7,7,65.0,복병유력 65.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240127,6,1200,10,스프링워터,4,3,7,65.0,복병유력 65.0점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정
서울,20240127,8,1600,3,비트러너,4,4,4,35.0,약함 35.0점 · 폼/연대OK/체중/부담안정/기수/조교OK
서울,20240127,9,1400,8,다이아키,9,6,10,65.0,복병유력 65.0점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정
서울,20240127,10,1200,3,드림아일,7,3,10,70.0,복병강 70.0점 · 구간강점/평가불일치/폼/연대OK/기수/조교OK
서울,20240127,11,2000,11,마이티굿,9,8,8,65.0,복병유력 65.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240128,1,1200,11,순천여왕,5,5,6,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240128,5,1600,8,구디,8,9,8,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/기수/조교OK
서울,20240128,3,1400,5,원더풀리걸,8,7,8,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/체중/부담안정
서울,20240128,4,1400,6,아치메모리,6,4,8,55.0,복병유력 55.0점 · 구간강점/평가불일치/폼/연대OK
서울,20240128,5,1300,2,내길의캡틴,10,10,10,65.0,복병유력 65.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240128,8,1200,4,컴플리트포스,5,11,4,80.0,복병강 80.0점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240128,9,1800,9,럭키파워,5,2,9,80.0,복병강 80.0점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240202,2,1300,7,윈윈,4,3,6,62.5,복병유력 62.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정
부산,20240202,4,1200,9,동남위너,9,11,9,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240202,6,1800,5,대호누리,4,7,4,72.5,복병강 72.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240203,2,1300,4,골든볼,7,7,7,65.0,복병유력 65.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240203,3,1200,7,서니로드,4,6,4,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240203,4,1700,2,내추럴클래스,5,3,5,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240203,5,1400,8,다온디,6,7,5,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240203,6,1300,11,신의함성,7,5,7,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240203,7,1600,6,쾌향,5,4,6,60.0,복병유력 60.0점 · 구간강점/폼/연대OK/기수/조교OK
서울,20240203,8,1200,6,메니샤크,6,8,11,72.5,복병강 72.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240203,9,1200,1,터프맨,10,9,11,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240204,1,1400,3,스타파크,4,9,4,77.5,복병강 77.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240204,2,1300,11,비케이도미네,4,4,4,65.0,복병유력 65.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240204,3,1300,3,타우루스킹,9,8,9,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/체중/부담안정
부산,20240204,5,1800,12,인디초이스,11,10,11,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/기수/조교OK
서울,20240204,2,1300,1,선샤인퀸,8,9,8,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/체중/부담안정
서울,20240204,5,1700,7,금성맨,5,1,7,60.0,복병유력 60.0점 · 구간강점/평가불일치/폼/연대OK
서울,20240204,6,1200,10,스마트별,6,4,6,60.0,복병유력 60.0점 · 구간강점/폼/연대OK/체중/부담안정
서울,20240204,7,1600,8,아메리카골드,7,6,7,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240204,8,1300,12,금세,5,6,7,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/기수/조교OK
서울,20240204,9,1200,7,에이스군주,6,6,7,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/기수/조교OK
서울,20240204,11,2300,7,우리,10,12,10,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240216,1,1300,8,스카이승,6,6,6,65.0,복병유력 65.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240216,2,1600,4,은성챔피언,8,8,7,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/체중/부담안정
부산,20240216,6,1800,2,러닝워리어,6,7,5,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240217,2,1200,4,소프트파워,4,6,3,72.5,복병강 72.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240217,3,1300,4,그래티튜드,8,9,8,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/체중/부담안정
서울,20240217,9,1400,6,한강보스,6,9,5,65.0,복병유력 65.0점 · 구간강점/평가불일치/폼/연대OK/기수/조교OK
서울,20240217,10,1800,2,불의신화,8,12,11,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240218,1,1200,10,캡틴다이아,4,2,5,62.5,복병유력 62.5점 · 구간강점/평가불일치/폼/연대OK/기수/조교OK
부산,20240218,4,1600,12,원더풀리지,10,7,10,62.5,복병유력 62.5점 · 구간강점/평가불일치/폼/연대OK/기수/조교OK
서울,20240218,2,1400,6,크레이지창,5,6,5,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240218,4,1300,11,안양천둥,7,5,8,72.5,복병강 72.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240218,6,1700,2,용비파워,7,9,8,67.5,복병유력 67.5점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240218,7,1200,14,해피피버,6,4,11,70.0,복병강 70.0점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정
부산,20240223,4,1200,9,초월의반석,6,6,5,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/기수/조교OK
부산,20240223,5,1400,8,서귀축제,6,12,7,47.5,복병주의 47.5점 · 평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240223,6,1800,9,서귀퍼펙트,8,5,8,72.5,복병강 72.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
부산,20240223,7,1800,10,위대한선택,7,10,5,67.5,복병유력 67.5점 · 구간강점/평가불일치/폼/연대OK/기수/조교OK
부산,20240223,8,1400,8,황우대장군,8,11,6,77.5,복병강 77.5점 · 구간강점/평가불일치/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240224,1,1400,4,브리도킹스타,6,7,6,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/기수/조교OK
서울,20240224,2,1200,9,은파파트너,4,5,3,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240224,3,1300,6,베아트리스,4,10,4,70.0,복병강 70.0점 · 구간강점/평가불일치/폼/연대OK/기수/조교OK
서울,20240224,4,1300,7,티즈모닝,7,6,8,60.0,복병유력 60.0점 · 구간강점/폼/연대OK/체중/부담안정
서울,20240224,6,1300,7,내길의캡틴,10,12,10,40.0,복병주의 40.0점 · 폼/연대OK/체중/부담안정/기수/조교OK
서울,20240224,7,1200,10,천행챗,10,10,8,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
서울,20240224,11,2000,9,파이어파워,8,8,9,57.5,복병유력 57.5점 · 구간강점/폼/연대OK/기수/조교OK
부산,20240225,3,1200,4,글로벌최고,8,8,10,60.0,복병유력 60.0점 · 구간강점/폼/연대OK/기수/조교OK
부산,20240225,4,1600,9,월드포인트,11,12,10,70.0,복병강 70.0점 · 구간강점/폼/연대OK/체중/부담안정/기수/조교OK
